+------------------------+-----------+--------------+----------+----------+---------+------------+-------+----------+----------+-------------+--------+----------+----------+--------+---------+---------+--------+----------+----------+---------------+
| Name                   | Obsid     | Mem_Match_ID | RA_RM    | Dec_RM   | lambda  | lambda_err | z     | RA_pk    | Dec_pk   | 500_kpc_SNR | Tr2500 | Tr2500_m | Tr2500_p | Tr500  | Tr500_m | Tr500_p | Lr2500 | Lr2500_m | Lr2500_p | serendipitous |
| RMJ024248.52-213420.41 | 673830101 | 4588         | 40.7022  | -21.5723 | 55.929  | 5.96       | 0.314 | 40.6502  | -21.541  | 156.634     | 4.629  | 0.032    | 0.032    | 4.542  | 0.037   | 0.037   | 7.348  | 0.019    | 0.021    | 0             |
| RMJ022045.48-032559.73 | 37982601  | 4682         | 35.1895  | -3.4333  | 38.752  | 2.782      | 0.343 | 35.1903  | -3.4342  | 11.601      | 2.337  | 0.28     | 0.411    | 2.408  | 0.386   | 0.77    | 0.115  | 0.007    | 0.01     | 1             |
| RMJ021735.29-051330.36 | 112370701 | 5072         | 34.397   | -5.2251  | 46.669  | 3.338      | 0.641 | 34.397   | -5.2258  | 13.482      | 3.423  | 0.727    | 1.085    | 2.468  | 0.417   | 0.805   | 0.118  | 0.011    | 0.011    | 1             |
| RMJ020341.87-074706.07 | 411980201 | 5191         | 30.9244  | -7.785   | 40.033  | 2.8        | 0.438 | 30.9261  | -7.7859  | 10.678      | 5.718  | 1.008    | 1.658    | 5.2    | 1.186   | 1.727   | 0.689  | 0.048    | 0.046    | 1             |
| RMJ034026.76-282826.06 | 653770101 | 5736         | 55.1115  | -28.4739 | 37.852  | 4.629      | 0.358 | 55.1111  | -28.4709 | 9.111       | 3.693  | 0.851    | 1.238    | nan    | nan     | nan     | 0.214  | 0.015    | 0.016    | 1             |
| RMJ023237.73-044440.20 | 677590137 | 6156         | 38.1572  | -4.7445  | 33.321  | 2.616      | 0.278 | 38.1579  | -4.7782  | 14.775      | 4.215  | 0.998    | 2.599    | nan    | nan     | nan     | 0.1    | 0.008    | 0.007    | 1             |
| RMJ231843.65-561212.54 | 677800137 | 6854         | 349.6819 | -56.2035 | 32.696  | 2.652      | 0.325 | 349.6835 | -56.2038 | 11.703      | 3.175  | 0.448    | 0.584    | 3.466  | 0.521   | 0.745   | 0.153  | 0.009    | 0.009    | 1             |
| RMJ231703.58-530008.87 | 677700137 | 6997         | 349.2649 | -53.0025 | 35.442  | 2.666      | 0.494 | 349.2658 | -53.005  | 9.698       | 2.348  | 0.383    | 0.501    | 4.015  | 1.048   | 1.715   | 0.203  | 0.016    | 0.021    | 1             |
| RMJ022827.82-042607.47 | 112680401 | 7290         | 37.1159  | -4.4354  | 33.367  | 2.292      | 0.426 | 37.1166  | -4.4351  | 12.372      | 2.81   | 0.506    | 0.63     | 3.926  | 1.027   | 2.074   | 0.127  | 0.01     | 0.012    | 1             |
| RMJ021803.45-525325.37 | 652951401 | 7631         | 34.5144  | -52.8904 | 28.256  | 2.861      | 0.395 | 34.5223  | -52.8631 | 11.029      | 1.869  | 0.406    | 0.928    | nan    | nan     | nan     | 0.1    | 0.021    | 0.042    | 1             |
| RMJ232634.84-550156.18 | 505382501 | 7678         | 351.6452 | -55.0323 | 27.646  | 2.269      | 0.398 | 351.6418 | -55.022  | 17.77       | 2.494  | 0.217    | 0.22     | 3.258  | 0.357   | 0.507   | 0.177  | 0.006    | 0.008    | 1             |
| RMJ022728.46-405101.12 | 200480101 | 7901         | 36.8686  | -40.8503 | 36.509  | 2.785      | 0.42  | 36.8711  | -40.8505 | 14.598      | 3.689  | 0.422    | 0.445    | 3.902  | 0.584   | 0.627   | 0.389  | 0.016    | 0.016    | 1             |
| RMJ231504.24-423915.28 | 147800101 | 7976         | 348.7677 | -42.6542 | 33.092  | 2.605      | 0.468 | 348.7514 | -42.6445 | 22.734      | 5.001  | 0.954    | 1.721    | 7.613  | 3.122   | 9.58    | 0.16   | 0.01     | 0.01     | 1             |
| RMJ034421.33-534023.82 | 744411601 | 8038         | 56.0889  | -53.6733 | 38.584  | 3.772      | 0.59  | 56.0918  | -53.6749 | 13.526      | 2.001  | 0.334    | 0.664    | 2.725  | 0.726   | 1.268   | 0.132  | 0.014    | 0.017    | 1             |
| RMJ035137.07-365019.81 | 603500201 | 8295         | 57.9045  | -36.8388 | 33.58   | 2.552      | 0.38  | 57.9064  | -36.8407 | 21.293      | 3.091  | 0.518    | 0.702    | 3.203  | 0.632   | 0.923   | 0.098  | 0.006    | 0.007    | 0             |
| RMJ2339027.3-555026.39 | 677761131 | 8656         | 354.8638 | -55.8407 | 34.13   | 3.476      | 0.401 | 354.8693 | -55.8419 | 11.884      | 2.654  | 0.337    | 0.347    | 2.47   | 0.357   | 0.496   | 0.102  | 0.007    | 0.007    | 1             |
| RMJ022804.48-045059.48 | 109520201 | 8787         | 37.0187  | -4.8499  | 33.245  | 3.234      | 0.294 | 37.0189  | -4.8506  | 14.18       | 2.681  | 0.286    | 0.352    | 2.521  | 0.491   | 0.679   | 0.104  | 0.005    | 0.005    | 1             |
| RMJ022549.29-055346.14 | 404965201 | 9071         | 36.4554  | -5.8962  | 29.599  | 2.467      | 0.242 | 36.4553  | -5.8977  | 17.477      | 2.824  | 0.277    | 0.37     | 2.581  | 0.365   | 0.401   | 0.189  | 0.007    | 0.008    | 1             |
| RMJ054753.29-473855.21 | 554500301 | 9073         | 86.972   | -47.6487 | 28.516  | 2.8        | 0.485 | 86.9737  | -47.6502 | 14.274      | 3.096  | 0.508    | 0.644    | 3.258  | 0.732   | 1.078   | 0.196  | 0.016    | 0.014    | 1             |
| RMJ014923.85-002032.93 | 747440135 | 9240         | 27.3494  | -0.3425  | 33.672  | 2.817      | 0.378 | 27.3482  | -0.3451  | 10.462      | 4.811  | 0.855    | 1.071    | 3.953  | 0.906   | 1.378   | 0.246  | 0.014    | 0.014    | 1             |
| RMJ023210.14-574555.49 | 743070501 | 9266         | 38.0423  | -57.7654 | 33.382  | 3.092      | 0.559 | 38.0434  | -57.7676 | 12.021      | 3.18   | 0.37     | 0.545    | 2.189  | 0.176   | 0.307   | 0.409  | 0.025    | 0.023    | 1             |
| RMJ233003.61-541426.65 | 505384001 | 9367         | 352.515  | -54.2407 | 32.146  | 2.548      | 0.382 | 352.5182 | -54.2412 | 9.082       | 1.72   | 0.171    | 0.358    | 3.432  | 1.124   | 3.203   | 0.081  | 0.007    | 0.012    | 1             |
| RMJ205216.67-611229.93 | 674370101 | 9389         | 313.0695 | -61.2083 | 35.792  | 3.236      | 0.383 | 313.0713 | -61.2097 | 44.291      | 3.342  | 0.119    | 0.164    | 3.23   | 0.156   | 0.159   | 0.359  | 0.006    | 0.006    | 0             |
| RMJ205955.06-424532.49 | 691670101 | 9391         | 314.9794 | -42.759  | 34.114  | 3.267      | 0.346 | 314.9803 | -42.7605 | 43.42       | 2.322  | 0.089    | 0.09     | 2.457  | 0.089   | 0.09    | 0.316  | 0.006    | 0.006    | 0             |
| RMJ233835.46-543727.03 | 677840137 | 9452         | 354.6477 | -54.6242 | 29.919  | 2.608      | 0.341 | 354.6511 | -54.624  | 11.197      | 2.332  | 0.411    | 0.665    | nan    | nan     | nan     | 0.101  | 0.009    | 0.012    | 1             |
| RMJ022917.35-055405.44 | 677600133 | 9469         | 37.3223  | -5.9015  | 31.353  | 2.665      | 0.305 | 37.3266  | -5.9003  | 10.05       | 3.053  | 0.462    | 0.627    | 3.283  | 0.723   | 0.911   | 0.11   | 0.007    | 0.007    | 1             |
| RMJ015717.58-165918.41 | 555220201 | 9516         | 29.3233  | -16.9884 | 34.099  | 2.537      | 0.56  | 29.3228  | -16.9905 | 21.688      | 4.949  | 0.902    | 1.172    | 4.437  | 0.67    | 0.985   | 0.136  | 0.009    | 0.01     | 0             |
| RMJ224823.71-444231.41 | 504630101 | 9586         | 342.0988 | -44.7087 | 34.221  | 3.123      | 0.472 | 342.0931 | -44.7099 | 11.618      | 3.091  | 0.851    | 1.761    | nan    | nan     | nan     | 0.127  | 0.017    | 0.019    | 1             |
| RMJ010547.06-002017.30 | 747390131 | 9704         | 16.4461  | -0.3381  | 32.192  | 2.957      | 0.318 | 16.4438  | -0.3396  | 9.015       | 1.318  | 0.135    | 0.207    | 1.002  | 0.108   | 0.285   | 0.035  | 0.005    | 0.005    | 1             |
| RMJ003840.86+004733.20 | 203690101 | 9805         | 9.6703   | 0.7926   | 25.083  | 2.884      | 0.558 | 9.6691   | 0.7967   | 9.345       | 1.47   | 0.289    | 0.847    | nan    | nan     | nan     | 0.091  | 0.017    | 0.028    | 1             |
| RMJ015221.64-140530.98 | 109540101 | 9831         | 28.0902  | -14.0919 | 37.013  | 5.053      | 0.328 | 28.0921  | -14.0887 | 18.521      | 2.581  | 0.219    | 0.282    | 2.464  | 0.243   | 0.243   | 0.106  | 0.004    | 0.004    | 1             |
| RMJ020820.15-071638.70 | 677690132 | 9953         | 32.084   | -7.2774  | 28.18   | 2.417      | 0.429 | 32.0752  | -7.2782  | 9.628       | 3.366  | 0.763    | 0.826    | 3.431  | 0.828   | 1.382   | 0.212  | 0.02     | 0.019    | 1             |
| RMJ021252.73-061212.08 | 742430101 | 10080        | 33.2197  | -6.2034  | 32.497  | 3.174      | 0.405 | 33.2198  | -6.2051  | 10.52       | 3.803  | 0.578    | 0.845    | 3.045  | 0.627   | 1.035   | 0.187  | 0.012    | 0.012    | 1             |
| RMJ052109.15-252519.96 | 790580101 | 10675        | 80.2881  | -25.4222 | 28.958  | 2.404      | 0.58  | 80.2915  | -25.4216 | 21.367      | 3.704  | 0.988    | 1.805    | 4.322  | 1.518   | 3.666   | 0.063  | 0.007    | 0.007    | 1             |
| RMJ231530.63-530346.23 | 677700139 | 11058        | 348.8776 | -53.0628 | 27.036  | 2.268      | 0.334 | 348.8773 | -53.0641 | 14.414      | 2.755  | 0.422    | 0.695    | 3.335  | 1.179   | 1.78    | 0.118  | 0.008    | 0.012    | 1             |
| RMJ011425.58+002932.86 | 404410101 | 11304        | 18.6066  | 0.4925   | 31.811  | 2.678      | 0.36  | 18.6068  | 0.4914   | 21.857      | 2.506  | 0.311    | 0.361    | 1.81   | 0.187   | 0.202   | 0.139  | 0.007    | 0.009    | 1             |
| RMJ034423.96-545839.07 | 675010701 | 11391        | 56.0999  | -54.9775 | 32.772  | 2.685      | 0.384 | 56.1071  | -54.9792 | 18.496      | 2.602  | 0.328    | 0.496    | nan    | nan     | nan     | 0.08   | 0.004    | 0.005    | 1             |
| RMJ005735.33-260645.28 | 504160101 | 11650        | 14.3972  | -26.1126 | 27.067  | 2.128      | 0.335 | 14.3981  | -26.1128 | 22.257      | 2.4    | 0.267    | 0.321    | 3.002  | 0.652   | 0.837   | 0.112  | 0.005    | 0.006    | 1             |
| RMJ0329026.7-273125.66 | 827210601 | 12503        | 52.3613  | -27.5238 | 29.843  | 2.535      | 0.235 | 52.3633  | -27.5247 | 16.611      | 2.941  | 0.201    | 0.204    | 2.669  | 0.188   | 0.291   | 0.149  | 0.003    | 0.003    | 1             |
| RMJ033428.73-361424.94 | 692840201 | 12955        | 53.6197  | -36.2403 | 27.158  | 2.4        | 0.334 | 53.6193  | -36.2426 | 16.776      | nan    | nan      | nan      | 2.1    | 0.126   | 0.166   | 0.056  | 0.001    | 0.001    | 1             |
| RMJ022722.39-032139.37 | 37981001  | 13244        | 36.8433  | -3.3609  | 25.633  | 2.257      | 0.335 | 36.8449  | -3.3616  | 10.291      | 2.339  | 0.13     | 0.132    | 2.196  | 0.089   | 0.181   | 0.142  | 0.003    | 0.003    | 1             |
| RMJ020911.21-062043.22 | 677680132 | 13414        | 32.2967  | -6.3453  | 27.082  | 2.372      | 0.484 | 32.2989  | -6.3463  | 10.326      | 2.731  | 0.378    | 0.566    | 2.741  | 0.372   | 0.917   | 0.393  | 0.027    | 0.034    | 1             |
| RMJ2128005.9-445423.67 | 88020201  | 13620        | 322.0246 | -44.9066 | 29.248  | 2.649      | 0.553 | 322.0268 | -44.9067 | 14.082      | nan    | nan      | nan      | 1.214  | 0.247   | 0.224   | nan    | nan      | nan      | nan           |
| RMJ000235.91-020221.99 | 653290201 | 13751        | 0.6496   | -2.0394  | 24.809  | 2.261      | 0.39  | 0.65     | -2.0401  | 16.33       | 2.143  | 0.166    | 0.376    | 2.476  | 0.324   | 0.38    | 0.173  | 0.008    | 0.01     | 1             |
| RMJ021853.29-191900.97 | 679181101 | 13951        | 34.722   | -19.3169 | 28.684  | 2.607      | 0.342 | 34.7295  | -19.3336 | 11.662      | nan    | nan      | nan      | nan    | nan     | nan     | 0.152  | 0.014    | 0.015    | 1             |
| RMJ033750.46-230420.97 | 305930101 | 14758        | 54.4603  | -23.0725 | 34.694  | 3.172      | 0.65  | 54.4611  | -23.0737 | 15.853      | 4.584  | 0.697    | 0.648    | 3.505  | 0.527   | 0.737   | 0.576  | 0.026    | 0.028    | 1             |
| RMJ000400.25-355652.26 | 145020201 | 15193        | 1.001    | -35.9478 | 27.448  | 2.398      | 0.518 | 1.003    | -35.9495 | 20.811      | 3.422  | 0.294    | 0.381    | 3.213  | 0.523   | 0.633   | 0.378  | 0.014    | 0.015    | 1             |
| RMJ052137.62-275122.40 | 650381201 | 16361        | 80.4067  | -27.8562 | 27.295  | 2.808      | 0.313 | 80.3549  | -27.9194 | 9.296       | 4.993  | 0.3      | 0.308    | 5.755  | 0.506   | 0.521   | 1.646  | 0.039    | 0.037    | 0             |
| RMJ034030.99-284902.04 | 653770101 | 17536        | 55.1291  | -28.8172 | 24.427  | 2.303      | 0.478 | 55.1347  | -28.8189 | 12.323      | nan    | nan      | nan      | nan    | nan     | nan     | 0.057  | 0.01     | 0.009    | 1             |
| RMJ201847.95-625909.32 | 674491501 | 17780        | 304.6998 | -62.9859 | 26.426  | 3.671      | 0.383 | 304.7011 | -62.9875 | 14.054      | 2.008  | 0.365    | 0.71     | nan    | nan     | nan     | 0.065  | 0.01     | 0.013    | 1             |
| RMJ023204.44-053302.15 | 747190838 | 17802        | 38.0185  | -5.5506  | 26.38   | 2.497      | 0.603 | 38.0217  | -5.5601  | 10.254      | 3.301  | 0.53     | 0.849    | 3.09   | 0.656   | 0.931   | 0.33   | 0.025    | 0.03     | 1             |
| RMJ0420017.8-503154.22 | 141750101 | 17944        | 65.0742  | -50.5317 | 27.631  | 2.729      | 0.44  | 65.0748  | -50.5326 | 13.27       | 2.634  | 0.181    | 0.229    | 2.463  | 0.199   | 0.2     | 0.14   | 0.004    | 0.005    | 1             |
| RMJ010311.32-221306.40 | 605880101 | 18195        | 15.7972  | -22.2184 | 22.261  | 2.428      | 0.228 | 15.8026  | -22.2139 | 21.532      | nan    | nan      | nan      | nan    | nan     | nan     | 0.045  | 0.003    | 0.003    | 1             |
| RMJ020046.14-064229.79 | 601740201 | 19298        | 30.1922  | -6.7083  | 27.448  | 3.245      | 0.345 | 30.1944  | -6.7089  | 14.477      | 2.165  | 0.187    | 0.24     | 2.12   | 0.242   | 0.248   | 0.168  | 0.009    | 0.011    | 1             |
| RMJ233327.89-000121.84 | 652401301 | 19338        | 353.3662 | -0.0227  | 23.299  | 2.116      | 0.521 | 353.3666 | -0.0262  | 10.894      | 2.133  | 0.637    | 2.877    | nan    | nan     | nan     | 0.188  | 0.045    | 0.082    | 1             |
| RMJ003628.66-432831.60 | 148960101 | 19762        | 9.1194   | -43.4754 | 25.282  | 2.317      | 0.406 | 9.1181   | -43.4782 | 11.825      | 2.857  | 0.357    | 0.603    | 2.641  | 0.635   | 0.757   | 0.074  | 0.005    | 0.006    | 1             |
| RMJ213436.61-422016.76 | 402460401 | 20716        | 323.6526 | -42.338  | 21.071  | 1.79       | 0.437 | 323.6534 | -42.3418 | 12.315      | 1.654  | 0.236    | 0.349    | nan    | nan     | nan     | 0.08   | 0.009    | 0.012    | 1             |
| RMJ234120.44-560357.74 | 677770136 | 21149        | 355.3352 | -56.066  | 21.727  | 2.434      | 0.408 | 355.3393 | -56.0677 | 9.238       | 4.265  | 1.482    | 2.566    | nan    | nan     | nan     | 0.107  | 0.023    | 0.022    | 1             |
| RMJ233215.49-544211.52 | 554560601 | 21496        | 353.0646 | -54.7032 | 24.839  | 2.425      | 0.269 | 353.066  | -54.7044 | 13.974      | 2.94   | 0.455    | 0.565    | 3.374  | 0.689   | 0.854   | 0.102  | 0.006    | 0.006    | 1             |
| RMJ015110.98+000914.48 | 747440148 | 21635        | 27.7957  | 0.154    | 24.351  | 2.317      | 0.525 | 27.7956  | 0.1495   | 9.021       | 4.377  | 0.847    | 1.499    | 3.883  | 1.279   | 2.143   | 0.202  | 0.019    | 0.019    | 1             |
| RMJ054319.98-355609.75 | 656202001 | 21979        | 85.8333  | -35.936  | 26.166  | 3.125      | 0.587 | 85.8353  | -35.9358 | 10.679      | 5.854  | 0.949    | 1.19     | 6.599  | 2.151   | 3.105   | 0.691  | 0.042    | 0.04     | 1             |
| RMJ020230.82-063125.94 | 677681238 | 22541        | 30.6284  | -6.5239  | 22.185  | 2.048      | 0.318 | 30.6274  | -6.5236  | 11.39       | 1.657  | 0.211    | 0.431    | 1.292  | 0.108   | 0.144   | 0.06   | 0.007    | 0.008    | 1             |
| RMJ020432.61-064452.44 | 677690137 | 24833        | 31.1359  | -6.7479  | 23.177  | 2.405      | 0.424 | 31.1363  | -6.7464  | 10.14       | 3.252  | 0.579    | 1.206    | 3.191  | 0.903   | 2.102   | 0.154  | 0.011    | 0.012    | 1             |
| RMJ0242044.7-482929.65 | 672090501 | 26776        | 40.6863  | -48.4916 | 20.614  | 2.196      | 0.296 | 40.6911  | -48.4929 | 11.487      | 2.033  | 0.373    | 0.651    | 1.677  | 0.219   | 0.46    | 0.054  | 0.006    | 0.009    | 1             |
| RMJ0103043.5-221811.73 | 605880101 | 27324        | 15.9313  | -22.3033 | 21.468  | 2.445      | 0.543 | 15.9332  | -22.3044 | 12.135      | 2.986  | 0.794    | 1.411    | nan    | nan     | nan     | 0.152  | 0.018    | 0.021    | 1             |
| RMJ013437.95-293221.88 | 654800501 | 27461        | 23.6581  | -29.5394 | 23.71   | 2.763      | 0.418 | 23.6653  | -29.5482 | 17.467      | 1.904  | 0.239    | 0.26     | 1.895  | 0.268   | 0.4     | 0.077  | 0.005    | 0.007    | 1             |
| RMJ0145029.7-392546.22 | 90070101  | 31184        | 26.3737  | -39.4295 | 22.017  | 2.348      | 0.627 | 26.3935  | -39.4292 | 10.219      | 1.463  | 0.232    | 0.454    | nan    | nan     | nan     | 0.059  | 0.012    | 0.018    | 1             |
| RMJ022632.84-050030.98 | 780451201 | 36135        | 36.6369  | -5.0086  | 20.995  | 2.447      | 0.5   | 36.6382  | -5.0071  | 11.031      | 2.262  | 0.816    | 2.148    | 0.999  | 0.163   | 0.135   | 0.039  | 0.012    | 0.015    | 1             |
| RMJ212605.02-435856.01 | 500050101 | 36562        | 321.5209 | -43.9822 | 20.339  | 2.505      | 0.577 | 321.5128 | -43.9814 | 9.094       | 2.936  | 0.756    | 1.434    | 2.591  | 0.875   | 1.696   | 0.23   | 0.044    | 0.05     | 1             |
| RMJ003547.52-432245.77 | 148960101 | 37794        | 8.948    | -43.3794 | 20.873  | 2.295      | 0.627 | 8.9499   | -43.3817 | 17.708      | 2.621  | 0.35     | 0.34     | nan    | nan     | nan     | 0.173  | 0.012    | 0.013    | 1             |
| RMJ011855.81+032431.89 | 601670101 | 99063        | 19.7326  | 3.4089   | 23.726  | 4.454      | 0.462 | 19.7654  | 3.3949   | 24.29       | 3.653  | 0.398    | 0.448    | 3.705  | 0.478   | 0.572   | 0.336  | 0.013    | 0.014    | 1             |
+------------------------+-----------+--------------+----------+----------+---------+------------+-------+----------+----------+-------------+--------+----------+----------+--------+---------+---------+--------+----------+----------+---------------+
