name,0,1,2,3,4,5,6,7,8,9,10,converged
DESY3RM-27,500.0,944.8829170126801,1331.096318726107,1440.7589194694397,1332.43143670091,1332.4314367009101,1332.4314367009104,1332.4314367009104,1332.4314367009104,1332.4314367009104,1332.4314367009104,True
DESY3RM-124,500.0,976.7837452591574,1040.1132830413928,1027.535476871623,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,1022.475897698899,True
DESY3RM-880,500.0,470.610586279141,164.8164893559669,244.18503419285807,125.16875922913806,244.20376906693082,29.505357005811046,,,,,False
DESY3RM-1850,500.0,669.1366255546823,531.0127263045616,,,,,,,,,False
DESY3RM-1882,500.0,631.3955136291471,539.0403207793797,650.7820487035955,568.5819024372216,817.8557327619822,802.8227552422522,802.8227552422522,802.8227552422522,802.8227552422522,802.8227552422522,True
DESY3RM-3005,500.0,1095.3627453033455,866.4671974773652,954.8823446318356,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,1005.8962344551745,True
DESY3RM-3023,500.0,286.019528581315,678.7353719132574,372.0778874083447,590.8719242888585,401.1439611902771,627.3695064589522,32.5780267122689,,,,False
DESY3RM-3492,500.0,,,,,,,,,,,False
DESY3RM-4771,500.0,1362.9311507647953,802.3757839553457,560.5334060052699,842.0380943266842,527.0999124090631,882.3468188797351,566.564495752991,955.4624280758071,576.7006224827737,894.7243822754609,False
DESY3RM-5835,500.0,444.30621832856474,539.3865000113765,366.51422650624374,693.2444324355254,,,,,,,False
DESY3RM-7588,500.0,528.8319499077558,502.16689149353675,525.6009707657928,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,499.7638041708611,True
DESY3RM-7862,500.0,510.01372691245814,512.2968429390019,451.6361801373717,391.09371516178845,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,371.51378230035965,True
DESY3RM-8168,500.0,250.55379026478712,328.4570674668911,194.4682452850946,399.9746497037695,,,,,,,False
DESY3RM-9441,500.0,592.2579082755905,614.9222196923024,615.4255659937461,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,614.944419729232,True
DESY3RM-9780,500.0,,,,,,,,,,,False
DESY3RM-10885,500.0,65.94417549594223,,,,,,,,,,False
DESY3RM-12810,500.0,,,,,,,,,,,False
DESY3RM-13563,500.0,640.2702848072096,524.5904603685095,591.283224752025,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,533.2531968388993,True
DESY3RM-13982,500.0,513.886642426626,501.60384672660587,508.3841773100098,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,488.2782368444034,True
DESY3RM-15135,500.0,524.8755398987751,513.5856038190562,521.3541298941517,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,515.2850329521891,True
DESY3RM-15769,500.0,,,,,,,,,,,False
DESY3RM-15788,500.0,560.9898835307304,542.8133318960553,582.1636585600659,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,True
DESY3RM-17138,500.0,400.33987156829403,468.92293443571793,406.59750095750746,513.467382845803,409.0169118974457,522.3720597115425,393.507621527948,469.3176076622409,409.3704507480616,531.3764793425843,False
DESY3RM-18419,500.0,324.31308150730746,536.2911258621691,335.61302409904624,545.8012051128517,340.8853630881231,553.5548031229663,356.9462750634405,563.5302435052915,362.50828635158075,559.718763009967,False
DESY3RM-18464,500.0,614.2777812827735,504.2492639301409,618.1724467488484,524.0219507660953,684.5853261740577,605.642026579446,485.28852639073574,634.0365029974146,578.605775863552,578.605775863552,True
DESY3RM-18474,500.0,537.1457055229407,533.2711982709834,533.3348397909832,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,True
DESY3RM-18701,500.0,,,,,,,,,,,False
DESY3RM-18707,500.0,493.0029268627105,496.4657367143825,488.8083200845256,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,True
DESY3RM-18716,500.0,420.25107528955965,479.955138545225,419.9849528509813,479.02717594626404,420.1318734049692,479.247272056332,420.6636842899031,479.21409303768496,419.89052043021996,479.0703334411138,False
DESY3RM-19799,500.0,535.0485179981383,470.2846490093227,554.4670865827645,482.66762972210944,375.1940962851058,486.7762037464753,376.27551063710445,486.6866531319414,377.21089591112803,482.4588882513503,False
DESY3RM-20064,500.0,672.9838222973285,560.1329912846124,628.036895773722,579.3597672533031,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,True
DESY3RM-20481,500.0,,,,,,,,,,,False
DESY3RM-20559,500.0,1236.3453782942186,,,,,,,,,,False
DESY3RM-20679,500.0,801.2160081025054,623.9051008163278,639.4808010779311,514.7695980391547,745.9009052288354,583.9446539252649,754.5657018582788,476.959092088373,791.96431638272,599.3782419087837,False
DESY3RM-21127,500.0,182.02279109599965,,,,,,,,,,False
DESY3RM-21181,500.0,399.6802478804934,546.1140001488458,402.97641236216623,544.4623722468854,868.4311374624085,423.4909509134211,555.1602779277498,403.88655915820556,542.7525489468983,866.3170268820493,False
DESY3RM-21502,500.0,203.15029688718755,,,,,,,,,,False
DESY3RM-21813,500.0,,,,,,,,,,,False
DESY3RM-22770,500.0,351.3489486606615,204.4095723031747,455.3842844051679,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,True
DESY3RM-23921,500.0,440.216096550569,453.57175057568736,455.26684202492004,454.68435302008066,454.6843530200808,454.68435302008083,454.68435302008095,454.684353020081,454.684353020081,454.684353020081,True
DESY3RM-24480,500.0,,,,,,,,,,,False
DESY3RM-24505,500.0,452.8710621682252,449.0997229204994,446.2071366899518,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,True
