name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+
DESY3RM-17138,16.6512713096144,0.272144249281864,0.24009746,0.0303,531.3764793425843,108.53675068461472,1.069091688,0.2695701340000001,2.9602001479999998,3.205159444e+42,1.6335950058688902e+42,1.23796225214729e+42,5.686829394000001e+42,3.60054206962045e+42,2.87710801269332e+42,1.063786498,0.37457661,0.382121809,3.1033921610000005e+42,3.1033921610000005e+42,4.29161986882713e+42,5.492296063000001e+42,5.492296063000001e+42,8.696994811815461e+42
DESY3RM-18419,76.5230863936708,-28.6732634914227,0.13612653,0.0103,559.718763009967,34.01074525326316,0.8616510732,0.1788569287,0.1628553247999999,2.601944265e+42,2.6019442649999905e+42,-2.4822852553734e+41,4.247074829e+42,4.247074829e+42,-3.1030412982174e+41,0.6902058104,0.1005822638999999,0.1917139847,2.1520741800000002e+42,2.1520741800000002e+42,-2.1520741800000002e+42,3.3489234090000005e+42,3.3489234090000005e+42,5.225561838853361e+47
DESY3RM-18464,37.0509272312404,-10.0928474267402,0.15822335,0.0217,578.605775863552,64.04643281845178,1.429206029,0.1690634689999999,0.2082147629999999,9.807078757e+42,1.07428736264621e+42,2.0382959551008404e+42,1.967228609e+43,3.18924500661548e+42,6.239103381104941e+42,1.094676267,0.085290193,0.1890999179999999,7.381579225e+42,1.9643629133450702e+42,1.49000283194473e+42,1.328350343e+43,4.70461735714616e+42,2.44885645948582e+42
DESY3RM-18474,9.0533234033778,-44.5662472166188,0.15344752,0.0406,533.0382601708724,17.568029994716007,1.586229499,0.0572635830000001,0.0544259659999999,8.529983726e+42,3.0263673219710004e+41,3.6551575233936005e+41,1.769357074e+43,1.05254797903498e+42,1.0587294290193501e+42,1.602599872,0.07446277,0.0695317039999998,6.166027824e+42,4.4463536333385e+41,4.0701288085671e+41,1.283635051e+43,7.729169249501e+41,9.3390616699653e+41
DESY3RM-18701,349.197332048535,-42.710484675403,0.110933,,,,,,,,,,,,,,,,,,,,,
DESY3RM-18707,77.6638026874339,-45.087220874506,0.20937401,0.0247,471.89894855002996,25.931908014151354,1.520677545,0.182260389,0.2342134059999998,4.4278575950000004e+42,2.07872537111268e+42,6.796196426299601e+41,9.625141201e+42,5.5919244144982e+42,1.51863526972851e+42,1.511105684,0.1810413419999998,0.262464148,3.7374597080000006e+42,3.48372509486663e+42,7.623813128662901e+41,8.108850289e+42,8.108850289e+42,-2.6387471756941003e+41
DESY3RM-18716,37.3278550889164,-10.0177308385265,0.19340347,0.0228,479.0703334411138,37.10347979703197,1.096675121,0.1142578844,0.1510201489999998,2.413085131e+42,7.158399100480701e+41,9.1497373297957e+41,4.3390527390000004e+42,1.73566481458169e+42,1.4159996920209002e+42,1.08304047,0.2022150729,0.147065148,2.304386768e+42,1.1638710186733002e+42,6.444614348586e+41,4.1254062850000004e+42,1.8906033114613702e+42,1.8100843343426504e+42
DESY3RM-19799,14.6273774305081,-36.3107446293196,0.1668534,0.0133,482.4588882513503,48.47099945581379,0.8931537654,0.1098653351,0.1179279156,5.558396756000001e+24,5.558396756000001e+24,1.7686991302319245e+56,9.172832111000001e+24,9.172832111000001e+24,-9.172832111000001e+24,0.9233561127,0.1495727130999999,0.1380997282999999,1.3971309660000004e+30,1.397130966e+30,-1.397130966e+30,2.3335179480000003e+30,2.3335179480000003e+30,8.758636759076282e+54
DESY3RM-20064,349.523488304913,-42.5974047021533,0.2015966,0.0111,579.3597672533032,36.94066800196102,2.125167564,0.1789298079999999,0.3220682130000001,1.592367984e+42,1.592367984e+42,1.53835204450833e+42,3.6195637080000005e+42,3.1607938505718804e+42,2.98232330445529e+42,2.207977558,0.2628145699999999,0.4465196859999998,2.201892602e+40,2.201892602e+40,2.4462915733596983e+43,5.071322013e+40,5.071322013e+40,5.096834369720113e+43
DESY3RM-20481,46.8192940880104,-28.4660321270861,0.26053974,,,,,,,,,,,,,,,,,,,,,
DESY3RM-20559,37.7715741075805,-10.1833164964645,0.15675753,,,,,,,,,,,,,,,,,,,,,
DESY3RM-20679,86.0523022895566,-25.9269611882188,0.26486236,0.0133,599.3782419087837,73.06867311270423,3.170987624,0.7906571979999999,1.6128244869999997,9.576261841e+42,2.1707085252592103e+42,1.0803447913910201e+42,2.62957442e+43,4.8123203400471703e+42,4.500015547892481e+42,3.775078389,1.240900923,3.246913674,5.4976573250000006e+42,1.48551139773899e+42,1.1420003829508301e+42,1.616837512e+43,5.556141461557751e+42,4.5371401365165705e+42
DESY3RM-21127,26.0488107155579,-60.4737310127639,0.2865136,,,,,,,,,,,,,,,,,,,,,
DESY3RM-21181,356.416745194039,-56.0506975374324,0.10620661,0.012,866.3170268820493,137.03469213411336,1.015822455,0.1753934999999998,0.1308809350000002,3.076619073e+42,3.076619073e+42,1.1916751977129237e+48,5.361887995e+42,5.361887995e+42,2.1495245791644772e+48,1.083192412,0.2843016174,0.1120068309999999,1.685383875e+42,1.685383875e+42,1.997106371001585e+55,3.031824943e+42,3.031824943e+42,2.790597832679164e+55
DESY3RM-21502,37.802842981658,-10.1057067343,0.1720265,,,,,,,,,,,,,,,,,,,,,
DESY3RM-21813,23.8864325863226,0.377471495315089,0.14518332,,,,,,,,,,,,,,,,,,,,,
DESY3RM-22770,351.777477968408,-0.399949988622782,0.29045698,0.041,462.67009401018777,138.45386758474237,1.730317886,0.4702869819999999,1.182529497,2.9693940190000005e+42,2.96939401899999e+42,4.1744964175824605e+42,6.318788860000001e+42,6.31878885992456e+42,1.173223051223619e+43,1.706661685,0.554048165,2.468319053,1.2362303840000001e+42,1.23623038399999e+42,7.341772524979124e+49,2.618135428e+42,2.618135428e+42,1.281741658413949e+50
DESY3RM-23921,29.1461481337073,-17.1561909679181,0.24745648,0.0178,454.684353020081,28.55926987676192,1.314787213,0.1263049730000001,0.209964045,2.5944879800000004e+42,4.2721418752890006e+41,5.6578969651706e+41,5.0126813890000003e+42,6.5111010452253006e+41,9.8438893883582e+41,1.319519409,0.1316873729999998,0.1661226040000001,2.3760031880000004e+42,4.156122829499801e+41,4.1170692410655005e+41,4.599053537000001e+42,8.7279989873535e+41,8.6806009536653e+41
DESY3RM-24480,91.3348798826189,-35.062212891836,0.29886526,,,,,,,,,,,,,,,,,,,,,
DESY3RM-24505,38.8080396828112,-44.4145063834648,0.18922111,0.0165,448.2489405891076,20.761321901430954,1.233458483,0.070356968,0.0614552219999999,3.2571804910000004e+42,8.472636854382e+41,9.872621568373001e+41,6.095205352000001e+42,2.2905895866750902e+42,1.4105117019200402e+42,1.190570383,0.0794577950000001,0.0685549749999998,3.151481907e+42,8.5867956151416e+41,8.463784031132901e+41,5.812540424e+42,2.0242150230258602e+42,1.55908039551347e+42
DESY3RM-25274,355.146455947774,-53.7141647004303,0.1827477,0.0118,482.2365261170146,40.20328536288511,1.418580259,0.1946035219999999,0.5318622559999999,4.246799001e+42,1.9395557346727e+42,1.9582312848126504e+42,8.484617563000002e+42,4.43270332404972e+42,4.0234698127806706e+42,1.375380203,0.1310497029999999,0.5718843150000001,4.198772416000001e+42,1.3133187561296502e+42,2.4563622035458604e+42,8.316096319000001e+42,3.38622874934088e+42,5.66820848858136e+42
DESY3RM-25624,15.3280904747906,0.597387529342232,0.20178314,,,,,,,,,,,,,,,,,,,,,
DESY3RM-25698,349.102138568267,-53.985178008383,0.28803796,,,,,,,,,,,,,,,,,,,,,
DESY3RM-25800,44.6939675368079,0.203881997770348,0.2643145,,,,,,,,,,,,,,,,,,,,,
DESY3RM-25828,16.4671594504503,-0.351039443654136,0.25573072,0.0344,404.74301043358093,64.87062497215564,0.9654638916,0.1931946153,0.1915718444,1.668166619e+42,8.5234842222637e+41,7.0730902591321e+41,2.82387987e+42,1.4244512706247602e+42,1.3131570272143301e+42,1.020137483,0.2134924145000001,0.1976339179999999,1.893570514e+42,8.853781791021801e+41,8.6175979782435e+41,3.283160088e+42,1.2192000653980402e+42,1.4976638228373403e+42
DESY3RM-25875,54.9990300228367,-52.5157857826814,0.25175557,,,,,,,,,,,,,,,,,,,,,
DESY3RM-25958,16.0593599537047,-18.2164621929067,0.15800111,,,,,,,,,,,,,,,,,,,,,
DESY3RM-26179,43.6137172668495,-8.25671596909753,0.20401196,0.0432,497.9390673664485,57.49676866845961,1.718152903,0.382341682,0.9239744239999998,2.678677321e+42,9.429552209909401e+41,1.4322406225236302e+42,5.706742239e+42,1.45243561192065e+42,2.7986193334042704e+42,1.673773143,0.3724992360000001,0.949777101,2.2925866840000002e+42,4.547642054711101e+41,1.10209701591875e+42,4.8341198150000004e+42,1.89542444105981e+42,2.3725870294530604e+42
DESY3RM-26360,22.7924287134565,-3.57732066301711,0.19672686,,,,,,,,,,,,,,,,,,,,,
DESY3RM-26852,353.104147875486,-56.0432352765561,0.2696585,0.0123,441.279218812586,21.676833542344298,1.274922323,0.0875687899999999,0.294664252,7.382577097000001e+42,2.52307234735903e+42,1.91591541278607e+42,1.403183055e+43,5.21602657520035e+42,5.763959093952911e+42,1.634696523,0.186220783,0.2734155840000001,6.485728727e+42,2.0121589320628302e+42,1.9823133961697904e+42,1.35227619e+43,3.3477692744972e+42,4.4774873597110003e+42
