name,ra,dec,redshift,nH,r500,r500+-,Tx500,Tx500-,Tx500+,Lx500_0.5-2.0,Lx500_0.5-2.0-,Lx500_0.5-2.0+,Lx500_0.01-100.0,Lx500_0.01-100.0-,Lx500_0.01-100.0+,Tx500ce,Tx500ce-,Tx500ce+,Lx500ce_0.5-2.0,Lx500ce_0.5-2.0-,Lx500ce_0.5-2.0+,Lx500ce_0.01-100.0,Lx500ce_0.01-100.0-,Lx500ce_0.01-100.0+,radstep0,radstep1,radstep2,radstep3,radstep4,radstep5,radstep6,radstep7,radstep8,radstep9,radstep10,rad_converged,MEM_MATCH_ID,REFMAG,REFMAG_ERR,ZRED,ZRED_E,ZRED_CHISQ,BCG_SPEC_Z,Z_SPEC_INIT,Z_INIT,Z,LAMBDA_CHISQ,LAMBDA_CHISQ_E,LAMBDA_ZRED,LAMBDA_ZRED_E,R_LAMBDA,SCALEVAL,MASKFRAC,GEOMASKFRAC,CHISQ,Z_LAMBDA,Z_LAMBDA_E,Z_LAMBDA_NITER,EBV_MEAN,LNLAMLIKE,LNBCGLIKE,LNLIKE,NCROSS,RMASK,RA_ORIG,DEC_ORIG,W,DLAMBDA_DZ,DLAMBDA_DZ2,DLAMBDAVAR_DZ,DLAMBDAVAR_DZ2,LAMBDA_CHISQ_C,LAMBDA_CHISQ_CE,NCENT,NCENT_GOOD,Q_MISS,BCG_ILUM,ILUM,Z_LAMBDA_RAW,Z_LAMBDA_E_RAW,LIM_EXPTIME,LIM_LIMMAG_DERED,LIM_LIMMAG,LIM_LIMMAG_HARD,MASKGAL_INDEX
DESY3RM-15788,33.749599714787,-3.9064948741266,0.14753744,0.0203,555.392959244826,31.003357356679302,1.636053231,0.1454767809999999,0.310178061,3.1018727510000004E42,5.7313702602689E41,5.6199104872721005E41,6.508320315E42,1.64907965791553E42,1.0607023631138401E42,1.971713739,0.3675472819999998,0.5880646470000002,2.453875102E42,2.453875102E42,3.3920826832543586E45,5.467655881E42,5.467655881E42,9.46162499291271E45,500.0,560.9898835307304,542.8133318960553,582.1636585600659,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,555.392959244826,true,15788,15.470077,0.0011738337,0.13459404,0.009940537,1.1081792,0.13756453,0.13756453,0.13459404,0.14446795,19.728895,1.7199277,18.752577,1.803437,0.722804,1.0138475,0.016769012,0.0,1.0317558,0.14753744,0.005899124,1,0.023077311,34.152695,3.9463668,38.09906,1,0.9393574,33.749599714787,-3.9064948741266,1.4252123,7.250789,1022.701,13.373512,13491.373,19.937788,0.6549233,5,3,-5.7663445,3.0703263,14.671093,0.14496303,0.004716781,0.2324108,22.33288,22.33288,23.559084,64
DESY3RM-18464,37.0509272312404,-10.0928474267402,0.15822335,0.0217,578.605775863552,64.04643281845178,1.429206029,0.1690634689999999,0.2082147629999999,9.807078757E42,1.07428736264621E42,2.0382959551008404E42,1.967228609E43,3.18924500661548E42,6.239103381104941E42,1.094676267,0.085290193,0.1890999179999999,7.381579225E42,1.9643629133450702E42,1.49000283194473E42,1.328350343E43,4.70461735714616E42,2.44885645948582E42,500.0,614.2777812827735,504.2492639301409,618.1724467488484,524.0219507660953,684.5853261740577,605.642026579446,485.28852639073574,634.0365029974146,578.605775863552,578.605775863552,true,18464,15.047964,7.026972E-4,0.15450507,0.009549618,2.1041954,-1.0,-1.0,0.15450507,0.15632695,19.31701,1.9079844,18.142378,1.6883926,0.7197605,1.0150627,0.013692049,0.0,1.481412,0.15822335,0.006469566,10,0.02731645,31.498009,3.5569549,35.054962,1,0.9304812,37.0509272312404,-10.0928474267402,1.489887,31.315763,-6738.9316,72.062195,-20055.045,19.31701,0.0,5,1,-5.185825,5.238491,11.838399,0.1553642,0.005534376,0.21059681,22.258362,22.258362,23.559084,11
DESY3RM-18474,9.0533234033778,-44.5662472166188,0.15344752,0.0406,533.0382601708724,17.568029994716007,1.586229499,0.0572635830000001,0.0544259659999999,8.529983726E42,3.0263673219710004E41,3.6551575233936005E41,1.769357074E43,1.05254797903498E42,1.0587294290193501E42,1.602599872,0.07446277,0.0695317039999998,6.166027824E42,4.4463536333385E41,4.0701288085671E41,1.283635051E43,7.729169249501E41,9.3390616699653E41,500.0,537.1457055229407,533.2711982709834,533.3348397909832,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,533.0382601708724,true,18474,15.266127,5.138911E-4,0.14526613,0.009619687,0.8551717,0.14723,-1.0,0.14526613,0.15074293,17.37963,1.7062236,18.050848,1.407241,0.7047062,1.0478293,0.04517059,0.0,0.21610078,0.15344752,0.006225056,1,0.009532037,31.490257,2.443978,33.934235,1,0.887264,9.0533234033778,-44.5662472166188,1.9250526,1.7494032,277.3278,31.962412,6885.216,17.169308,0.44592884,5,3,-7.0061603,4.0193915,17.116854,0.15070741,0.005196067,0.23542924,22.342636,22.342636,23.559084,53
DESY3RM-18707,77.6638026874339,-45.087220874506,0.20937401,0.0247,471.89894855002996,25.931908014151354,1.520677545,0.182260389,0.2342134059999998,4.4278575950000004E42,2.07872537111268E42,6.796196426299601E41,9.625141201E42,5.5919244144982E42,1.51863526972851E42,1.511105684,0.1810413419999998,0.262464148,3.7374597080000006E42,3.48372509486663E42,7.623813128662901E41,8.108850289E42,8.108850289E42,-2.6387471756941003E41,500.0,493.0029268627105,496.4657367143825,488.8083200845256,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,471.89894855002996,true,18707,16.294653,9.251683E-4,0.20083046,0.00944073,1.2039362,-1.0,-1.0,0.20083046,0.20582145,16.693155,2.2677886,15.182913,2.0249727,0.6990491,1.0255833,0.021332694,0.0,1.3036915,0.20937401,0.0050723217,1,0.030704943,31.282822,4.399926,35.682747,1,0.87131846,77.6638026874339,-45.087220874506,1.5975236,-1.8720859,1982.11,41.109863,26107.121,16.68131,0.061267138,5,2,-3.31229,3.0901988,17.81162,0.20645607,0.0038077808,0.32528213,22.587057,22.587057,23.559084,76
DESY3RM-20064,349.523488304913,-42.5974047021533,0.2015966,0.0111,579.3597672533032,36.94066800196102,2.125167564,0.1789298079999999,0.3220682130000001,1.592367984E42,1.592367984E42,1.53835204450833E42,3.6195637080000005E42,3.1607938505718804E42,2.98232330445529E42,2.207977558,0.2628145699999999,0.4465196859999998,2.201892602E40,2.201892602E40,2.4462915733596983E43,5.071322013E40,5.071322013E40,5.096834369720113E43,500.0,672.9838222973285,560.1329912846124,628.036895773722,579.3597672533031,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,579.3597672533032,true,20064,16.707428,0.0018077333,0.20231058,0.009789254,1.5541409,-1.0,-1.0,0.21168593,0.2029858,19.011911,2.1226735,20.308584,2.067104,0.7174723,1.0074445,0.005990894,0.0,1.6187457,0.2015966,0.0051381537,2,0.010901848,30.11365,2.0458238,32.159473,1,0.9238389,349.522511707258,-42.6004382175043,1.6998501,25.215267,1487.8799,31.286697,1243.6804,18.447008,1.3048747,5,5,-1.0246761,1.9385301,16.15452,0.19850935,0.003943594,0.40657943,22.755724,22.755724,23.559084,10
DESY3RM-22770,351.777477968408,-0.399949988622782,0.29045698,0.041,462.67009401018777,138.45386758474237,1.730317886,0.4702869819999999,1.182529497,2.9693940190000005E42,2.96939401899999E42,4.1744964175824605E42,6.318788860000001E42,6.31878885992456E42,1.173223051223619E43,1.706661685,0.554048165,2.468319053,1.2362303840000001E42,1.23623038399999E42,7.341772524979124E49,2.618135428E42,2.618135428E42,1.281741658413949E50,500.0,351.3489486606615,204.4095723031747,455.3842844051679,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,462.67009401018777,true,22770,17.470531,0.0021527568,0.29356357,0.012537,0.7493311,0.2794048,-1.0,0.26465112,0.2926733,17.837278,1.9407561,19.850935,1.9615647,0.7083791,1.025085,0.02553502,0.0,0.8723634,0.29045698,0.008298848,4,0.038041428,28.166096,0.48408583,28.65018,1,0.89770263,351.775199531252,-0.395912755935408,1.8235265,23.303867,-30.346556,57.65958,-15829.472,17.626137,0.5878355,5,5,-2.3014486,2.2610245,14.788731,0.29115197,0.006496227,0.25889945,22.414484,22.414484,23.559084,85
DESY3RM-23921,29.1461481337073,-17.1561909679181,0.24745648,0.0178,454.684353020081,28.55926987676192,1.314787213,0.1263049730000001,0.209964045,2.5944879800000004E42,4.2721418752890006E41,5.6578969651706E41,5.0126813890000003E42,6.5111010452253006E41,9.8438893883582E41,1.319519409,0.1316873729999998,0.1661226040000001,2.3760031880000004E42,4.156122829499801E41,4.1170692410655005E41,4.599053537000001E42,8.7279989873535E41,8.6806009536653E41,500.0,440.216096550569,453.57175057568736,455.26684202492004,454.68435302008066,454.6843530200808,454.68435302008083,454.68435302008095,454.684353020081,454.684353020081,454.684353020081,true,23921,17.024698,0.0021309538,0.24561886,0.011776815,1.753216,-1.0,-1.0,0.24561886,0.2460525,17.028765,1.456375,18.310183,1.6821104,0.7018376,1.0080563,0.006742114,0.0,1.727811,0.24745648,0.0069176126,1,0.023910917,27.45418,3.7024617,31.156641,1,0.87915826,29.1461481337073,-17.1561909679181,1.5987748,1.3891991,-2661.4922,-3.5583525,-3185.1182,16.953949,0.2968236,5,4,-2.1855779,2.3390112,16.080513,0.24611914,0.005685283,0.41872725,22.777983,22.777983,23.559084,3
DESY3RM-24505,38.8080396828112,-44.4145063834648,0.18922111,0.0165,448.2489405891076,20.761321901430954,1.233458483,0.070356968,0.0614552219999999,3.2571804910000004E42,8.472636854382E41,9.872621568373001E41,6.095205352000001E42,2.2905895866750902E42,1.4105117019200402E42,1.190570383,0.0794577950000001,0.0685549749999998,3.151481907E42,8.5867956151416E41,8.463784031132901E41,5.812540424E42,2.0242150230258602E42,1.55908039551347E42,500.0,452.8710621682252,449.0997229204994,446.2071366899518,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,448.2489405891076,true,24505,16.86507,0.0018875351,0.18628599,0.009302546,1.6358591,-1.0,-1.0,0.18628599,0.18623291,19.545835,1.9623765,20.873018,1.8914216,0.72145766,1.0122427,0.014356319,0.0,1.6333182,0.18922111,0.0051272544,1,0.01601359,27.106684,1.7785232,28.885206,1,0.93542516,38.8080396828112,-44.4145063834648,1.1513584,26.162046,-277.6901,99.24554,16273.827,19.448074,0.15876876,5,2,0.32350448,1.4508555,11.715906,0.18601188,0.003969745,0.30617198,22.54128,22.54128,23.559084,79
DESY3RM-25274,355.146455947774,-53.7141647004303,0.1827477,0.0118,482.2365261170146,40.20328536288511,1.418580259,0.1946035219999999,0.5318622559999999,4.246799001E42,1.9395557346727E42,1.9582312848126504E42,8.484617563000002E42,4.43270332404972E42,4.0234698127806706E42,1.375380203,0.1310497029999999,0.5718843150000001,4.198772416000001E42,1.3133187561296502E42,2.4563622035458604E42,8.316096319000001E42,3.38622874934088E42,5.66820848858136E42,500.0,482.8793691905898,503.6056125259983,481.0020515147894,482.23652611701436,482.2365261170145,482.23652611701453,482.2365261170146,482.2365261170146,482.2365261170146,482.2365261170146,true,25274,16.85794,0.001227621,0.17983446,0.009694146,2.0216677,-1.0,-1.0,0.19011882,0.18011346,17.16606,1.7892438,12.650587,1.8392382,0.7029657,1.0060716,0.006100537,0.0,1.9148698,0.1827477,0.005595931,1,0.011546415,26.6648,-0.97604483,25.688755,1,0.8823409,355.121806980032,-53.7275456997688,1.3112521,13.500396,2061.1274,40.78785,6242.8496,17.202692,0.10782948,5,2,0.27815017,1.3499264,8.409975,0.17954122,0.0045639873,0.43931314,22.814268,22.814268,23.559084,86
DESY3RM-25828,16.4671594504503,-0.351039443654136,0.25573072,0.0344,404.74301043358093,64.87062497215564,0.9654638916,0.1931946153,0.1915718444,1.668166619E42,8.5234842222637E41,7.0730902591321E41,2.82387987E42,1.4244512706247602E42,1.3131570272143301E42,1.020137483,0.2134924145000001,0.1976339179999999,1.893570514E42,8.853781791021801E41,8.6175979782435E41,3.283160088E42,1.2192000653980402E42,1.4976638228373403E42,500.0,400.75140479054033,378.21388317703065,387.12930182080055,404.74301043358093,404.74301043358093,404.74301043358093,404.74301043358093,404.74301043358093,404.74301043358093,404.74301043358093,true,25828,16.486485,0.0019341352,0.26655808,0.012172063,0.6656904,0.26107597,0.26101378,0.3014053,0.2927751,7.296091,1.9739971,7.6927204,1.8912708,0.59240407,1.0178888,0.018346112,0.0,1.7892209,0.25573072,0.008986937,4,0.03720028,26.33726,-2.1170888,24.220171,1,0.60037863,16.4827501063053,-0.324567519367283,1.1279442,21.153286,-5184.0225,74.02355,-19293.094,6.825197,0.92892605,5,3,0.29196405,4.152625,6.2517896,0.25481963,0.007979437,0.27075955,22.448349,22.448349,23.559084,52
